year;month;day;hora;marginalPT;marginalES;
2018;01;07;13;53.04;53.04;
2018;01;07;14;54.07;54.07;
2018;01;07;15;53.99;53.99;
2018;01;07;16;49.41;49.41;
2018;01;07;17;48.69;48.69;
2018;01;07;18;54.19;54.19;
2018;01;07;19;57.06;61.27;
2018;01;07;20;63.19;70;
2018;01;07;21;64.72;72.21;
2018;01;07;22;64.69;77.71;
2018;01;07;23;64.62;72.05;
2018;01;07;24;66;66;
2018;01;08;1;66.69;66.69;
2018;01;08;2;57.55;57.55;
2018;01;08;3;53.01;53.01;
2018;01;08;4;50.14;50.14;
2018;01;08;5;49.54;49.54;
2018;01;08;6;51.09;51.09;
2018;01;08;7;60;60;
2018;01;08;8;65.59;67.33;
2018;01;08;9;65.94;70.62;
2018;01;08;10;68.59;70.32;
2018;01;08;11;70.62;70.62;
2018;01;08;12;69.48;69.48;
2018;01;08;13;69.46;69.46;
2018;01;08;14;69.42;69.42;
2018;01;08;15;68.92;68.92;
2018;01;08;16;68.59;68.59;
2018;01;08;17;67.09;67.09;
2018;01;08;18;67.09;67.09;
2018;01;08;19;68.71;68.71;
2018;01;08;20;69.69;69.69;
2018;01;08;21;70.88;70.88;
2018;01;08;22;70.62;70.62;
2018;01;08;23;68.92;68.92;
2018;01;08;24;66.92;66.92;
2018;01;09;1;68.71;68.71;
2018;01;09;2;54.32;54.32;
2018;01;09;3;49.69;47.29;
2018;01;09;4;48.99;46.15;
2018;01;09;5;46.99;45.6;
2018;01;09;6;45.92;45.6;
2018;01;09;7;47.29;47.29;
2018;01;09;8;55.9;55.9;
2018;01;09;9;58.99;58.99;
2018;01;09;10;64.58;64.58;
2018;01;09;11;64.3;64.3;
2018;01;09;12;61.35;61.35;
2018;01;09;13;58.44;58.44;
2018;01;09;14;57.55;57.55;
2018;01;09;15;55.14;55.14;
2018;01;09;16;55.13;55.13;
2018;01;09;17;56.07;56.07;
2018;01;09;18;59.01;59.01;
2018;01;09;19;67.02;67.02;
2018;01;09;20;69.02;69.02;
2018;01;09;21;69.55;69.55;
