year;month;day;hora;marginalPT;marginalES;
2018;01;20;20;58.09;56.01;
2018;01;20;21;58.49;57.8;
2018;01;20;22;57.5;57.5;
2018;01;20;23;46.05;46.05;
2018;01;20;24;46.95;41.05;
2018;01;21;1;44.4;40.45;
2018;01;21;2;44.4;30.57;
2018;01;21;3;39.05;29.24;
2018;01;21;4;38.12;27.5;
2018;01;21;5;38.1;19.99;
2018;01;21;6;38.07;25;
2018;01;21;7;38.08;28.47;
2018;01;21;8;38.18;33.33;
2018;01;21;9;38.63;38.63;
2018;01;21;10;40.35;40.35;
2018;01;21;11;46.7;46.7;
2018;01;21;12;46.05;46.05;
2018;01;21;13;45.97;43.3;
2018;01;21;14;47.93;47.93;
2018;01;21;15;45.66;45.66;
2018;01;21;16;44.2;41.2;
2018;01;21;17;41.69;41.2;
2018;01;21;18;44.54;44.54;
2018;01;21;19;58.03;58.03;
2018;01;21;20;60.9;60.9;
2018;01;21;21;61.97;61.97;
2018;01;21;22;63.43;63.43;
2018;01;21;23;61.8;61.8;
2018;01;21;24;59.54;59.54;
2018;01;22;1;58.03;58.03;
2018;01;22;2;44.72;44.72;
2018;01;22;3;40.95;40.95;
2018;01;22;4;40.35;40.35;
2018;01;22;5;39.85;39.85;
2018;01;22;6;40.2;40.2;
2018;01;22;7;44.5;44.5;
2018;01;22;8;58.03;58.03;
2018;01;22;9;59.01;59.01;
2018;01;22;10;60.79;60.79;
2018;01;22;11;60.1;60.1;
2018;01;22;12;58.7;58.7;
2018;01;22;13;58.09;58.09;
2018;01;22;14;58.01;58.01;
2018;01;22;15;55.69;55.69;
2018;01;22;16;52.73;52.73;
2018;01;22;17;52.16;52.16;
2018;01;22;18;55.8;55.8;
2018;01;22;19;57.69;57.69;
2018;01;22;20;59.03;59.03;
2018;01;22;21;61.01;61.01;
2018;01;22;22;60.32;60.32;
2018;01;22;23;57.86;57.86;
2018;01;22;24;56.09;56.09;
2018;01;23;1;59.01;59.01;
2018;01;23;2;53.01;53.01;
2018;01;23;3;49.4;49.4;
2018;01;23;4;47.43;47.43;
2018;01;23;5;47.43;47.43;
2018;01;23;6;47.76;47.76;
2018;01;23;7;53.48;53.48;
2018;01;23;8;59.34;59.34;
2018;01;23;9;61.41;61.41;
2018;01;23;10;61.8;61.8;
2018;01;23;11;61.62;61.62;
2018;01;23;12;60.69;60.69;
2018;01;23;13;59.55;59.55;
2018;01;23;14;60.02;60.02;
2018;01;23;15;59.34;59.34;
2018;01;23;16;58.7;58.7;
2018;01;23;17;59.34;59.34;
2018;01;23;18;58.03;58.03;
2018;01;23;19;61.09;61.09;
2018;01;23;20;62.57;62.57;
2018;01;23;21;63.51;63.51;
2018;01;23;22;63.09;63.09;
2018;01;23;23;61.77;61.77;
2018;01;23;24;61.69;61.69;
2018;01;24;1;61.59;61.59;
2018;01;24;2;59.75;59.75;
2018;01;24;3;57.69;57.69;
2018;01;24;4;53.01;53.01;
2018;01;24;5;49.57;49.57;
2018;01;24;6;51;51;
2018;01;24;7;56.65;56.65;
2018;01;24;8;58.7;58.7;
2018;01;24;9;59.9;59.9;
2018;01;24;10;59.9;59.9;
2018;01;24;11;58.51;58.51;
2018;01;24;12;57.45;57.45;
2018;01;24;13;55.9;55.9;
2018;01;24;14;55.83;55.83;
2018;01;24;15;53.56;53.56;
2018;01;24;16;50.86;50.86;
2018;01;24;17;50.09;50.09;
2018;01;24;18;52.17;52.17;
2018;01;24;19;57.45;57.45;
2018;01;24;20;59.75;59.75;
2018;01;24;21;60.82;60.82;
2018;01;24;22;60.01;60.01;
2018;01;24;23;59;59;
2018;01;24;24;57.69;57.69;
2018;01;25;1;58.95;58.95;
2018;01;25;2;56.02;56.02;
2018;01;25;3;47.76;47.76;
2018;01;25;4;46.01;46.01;
2018;01;25;5;45.39;45.39;
2018;01;25;6;45.39;45.39;
2018;01;25;7;54.82;54.82;
2018;01;25;8;55.84;55.84;
2018;01;25;9;58.68;58.68;
2018;01;25;10;59.11;59.11;
2018;01;25;11;58.95;58.95;
2018;01;25;12;58.19;58.19;
2018;01;25;13;56.94;56.94;
2018;01;25;14;56.92;56.92;
2018;01;25;15;55.69;55.69;
2018;01;25;16;51.89;51.89;
2018;01;25;17;49;49;
2018;01;25;18;49.37;49.37;
2018;01;25;19;55.69;55.69;
2018;01;25;20;57.69;57.69;
2018;01;25;21;57.98;57.98;
2018;01;25;22;54.19;54.19;
2018;01;25;23;48.17;48.17;
2018;01;25;24;43.09;43.09;
2018;01;26;1;42.61;42.61;
2018;01;26;2;38.12;38.05;
2018;01;26;3;37.59;35.84;
2018;01;26;4;37.39;33.01;
2018;01;26;5;37.09;32.8;
2018;01;26;6;36.84;34.9;
2018;01;26;7;39.91;39.91;
2018;01;26;8;51.27;51.27;
2018;01;26;9;57.3;57.3;
2018;01;26;10;58.01;58.01;
2018;01;26;11;57.6;57.6;
2018;01;26;12;53.75;53.75;
2018;01;26;13;50.23;50.23;
2018;01;26;14;49.2;49.2;
2018;01;26;15;48.96;48.96;
2018;01;26;16;48.25;48.25;
2018;01;26;17;48.25;48.25;
2018;01;26;18;51.15;51.15;
2018;01;26;19;54.7;54.7;
2018;01;26;20;57.98;57.98;
2018;01;26;21;58.44;58.44;
2018;01;26;22;58.39;58.39;
2018;01;26;23;57.3;57.3;
2018;01;26;24;54.77;54.77;
2018;01;27;1;51.47;51.47;
2018;01;27;2;39.52;39.52;
2018;01;27;3;38.12;38.12;
2018;01;27;4;38.05;38.05;
2018;01;27;5;37.92;37.92;
2018;01;27;6;37.92;37.92;
2018;01;27;7;38.09;38.09;
2018;01;27;8;39.27;39.27;
2018;01;27;9;43.45;43.45;
2018;01;27;10;51.47;51.47;
2018;01;27;11;56.09;56.09;
2018;01;27;12;54.15;54.15;
2018;01;27;13;49.09;49.09;
2018;01;27;14;51.09;51.09;
2018;01;27;15;46.95;46.95;
2018;01;27;16;44.6;44.6;
2018;01;27;17;44.49;44.49;
2018;01;27;18;46;46;
2018;01;27;19;57.2;57.2;
2018;01;27;20;60.08;60.08;
2018;01;27;21;60.59;60.59;
2018;01;27;22;60.61;60.61;
2018;01;27;23;60.37;60.37;
2018;01;27;24;59.42;59.42;
2018;01;28;1;57.12;57.12;
2018;01;28;2;53.01;53.01;
2018;01;28;3;42.1;42.1;
2018;01;28;4;39.98;39.98;
2018;01;28;5;39.66;39.66;
2018;01;28;6;39.66;39.66;
2018;01;28;7;39.81;39.81;
2018;01;28;8;39.98;39.98;
2018;01;28;9;40;40;
2018;01;28;10;41.6;41.6;
2018;01;28;11;50;50;
2018;01;28;12;51.65;51.65;
2018;01;28;13;51.58;51.58;
2018;01;28;14;52.88;52.88;
2018;01;28;15;50.66;50.66;
2018;01;28;16;43.42;43.42;
2018;01;28;17;41.6;41.6;
2018;01;28;18;44.01;44.01;
2018;01;28;19;53.95;53.95;
2018;01;28;20;59.58;59.58;
2018;01;28;21;60.98;60.98;
2018;01;28;22;61.99;61.99;
2018;01;28;23;60.98;60.98;
2018;01;28;24;58.19;58.19;
2018;01;29;1;56.37;56.37;
2018;01;29;2;46.18;46.18;
2018;01;29;3;45.13;45.13;
2018;01;29;4;45.09;45.09;
2018;01;29;5;46;46;
2018;01;29;6;47.95;47.95;
2018;01;29;7;57.79;57.79;
2018;01;29;8;59.42;59.42;
2018;01;29;9;58.99;58.99;
2018;01;29;10;58.99;58.99;
2018;01;29;11;59.01;59.01;
2018;01;29;12;58.19;58.19;
2018;01;29;13;56.37;56.37;
2018;01;29;14;55.39;55.39;
2018;01;29;15;54.23;54.23;
2018;01;29;16;54.14;54.14;
2018;01;29;17;54.04;54.04;
2018;01;29;18;54.14;54.14;
2018;01;29;19;58.19;58.19;
2018;01;29;20;59.58;59.58;
2018;01;29;21;59.8;59.8;
2018;01;29;22;59.25;59.25;
2018;01;29;23;54.63;54.63;
2018;01;29;24;54.04;54.04;
2018;01;30;1;48.01;48.01;
2018;01;30;2;44.1;44.1;
2018;01;30;3;41.2;41.2;
2018;01;30;4;41.06;41.06;
2018;01;30;5;41.2;41.2;
2018;01;30;6;43.6;43.6;
2018;01;30;7;48.01;48.01;
2018;01;30;8;55.39;55.39;
2018;01;30;9;57;57;
2018;01;30;10;58.58;58.58;
2018;01;30;11;58.87;58.87;
2018;01;30;12;58.75;58.75;
2018;01;30;13;58.58;58.58;
2018;01;30;14;58.39;58.39;
2018;01;30;15;58.19;58.19;
2018;01;30;16;57.79;57.79;
2018;01;30;17;56.37;56.37;
2018;01;30;18;58.19;58.19;
2018;01;30;19;58.99;58.99;
2018;01;30;20;60.07;60.07;
2018;01;30;21;60.19;60.19;
2018;01;30;22;59.69;59.69;
2018;01;30;23;58.01;58.01;
2018;01;30;24;55.31;55.31;
2018;01;31;1;58.78;58.78;
2018;01;31;2;55.39;55.39;
2018;01;31;3;51.13;51.13;
2018;01;31;4;48.46;48.46;
2018;01;31;5;48.46;48.46;
2018;01;31;6;50.82;50.82;
2018;01;31;7;55.39;55.39;
2018;01;31;8;58.01;58.01;
2018;01;31;9;58.99;58.99;
2018;01;31;10;59.26;59.26;
2018;01;31;11;59.25;59.25;
2018;01;31;12;58.67;58.67;
2018;01;31;13;58.39;58.39;
2018;01;31;14;59;59;
2018;01;31;15;58.39;58.39;
2018;01;31;16;58.19;58.19;
2018;01;31;17;57.98;57.98;
2018;01;31;18;57.07;57.07;
2018;01;31;19;58.99;58.99;
2018;01;31;20;60.13;60.13;
2018;01;31;21;60.61;60.61;
