year;month;day;hora;marginalPT;marginalES
2018;05;05;21;48.43;48.43
2018;05;05;22;51.15;51.15
2018;05;05;23;50;50
2018;05;05;24;49.14;49.14
2018;05;06;1;49.44;49.44
2018;05;06;2;47.89;47.89
2018;05;06;3;44.08;44.08
2018;05;06;4;42.74;42.74
2018;05;06;5;42.68;42.68
2018;05;06;6;44.01;44.01
2018;05;06;7;45.99;45.99
2018;05;06;8;45;45
2018;05;06;9;45;45
2018;05;06;10;49.1;49.1
2018;05;06;11;47.89;47.89
2018;05;06;12;48.5;48.5
2018;05;06;13;48.53;48.53
2018;05;06;14;49.44;49.44
2018;05;06;15;49.1;49.1
2018;05;06;16;48.22;48.22
2018;05;06;17;45.99;45.99
2018;05;06;18;45.64;45.64
2018;05;06;19;46.52;46.52
2018;05;06;20;46.64;46.64
2018;05;06;21;50.23;50.23
2018;05;06;22;53.89;53.89
2018;05;06;23;53.78;53.78
2018;05;06;24;52.14;52.14
2018;05;07;1;55.84;55.84
2018;05;07;2;55.33;55.33
2018;05;07;3;54.6;54.6
2018;05;07;4;54.78;54.78
2018;05;07;5;54.88;54.88
2018;05;07;6;55.15;55.15
2018;05;07;7;55.75;55.75
2018;05;07;8;57;57
2018;05;07;9;57.05;57.05
2018;05;07;10;57.25;57.25
2018;05;07;11;57.19;57.19
2018;05;07;12;57.25;57.25
2018;05;07;13;57.75;57.75
2018;05;07;14;57.09;57.09
2018;05;07;15;56.95;56.95
2018;05;07;16;56.15;56.15
2018;05;07;17;56.47;56.47
2018;05;07;18;56.47;56.47
2018;05;07;19;56.47;56.47
2018;05;07;20;56.95;56.95
2018;05;07;21;57.05;57.05
2018;05;07;22;58.05;58.05
2018;05;07;23;56.95;56.95
2018;05;07;24;56.01;56.01
2018;05;08;1;57.69;57.69
2018;05;08;2;56.95;56.95
2018;05;08;3;55.5;55.5
2018;05;08;4;55.5;55.5
2018;05;08;5;55.43;55.43
2018;05;08;6;55.6;55.6
2018;05;08;7;56.95;56.95
2018;05;08;8;57.69;57.69
2018;05;08;9;59.56;59.64
2018;05;08;10;59.64;59.64
2018;05;08;11;59.05;59.05
2018;05;08;12;58.58;58.58
2018;05;08;13;58.3;58.3
2018;05;08;14;57.9;57.9
2018;05;08;15;57.69;57.69
2018;05;08;16;56.95;56.95
2018;05;08;17;55.9;55.9
2018;05;08;18;55.44;55.44
2018;05;08;19;53.04;53.04
2018;05;08;20;53.1;53.1
2018;05;08;21;56;56
2018;05;08;22;58.3;58.3
2018;05;08;23;57.05;57.05
